,0,1,2
0,0,sh,"(-4,19.595917942265423)"
1,1,sh,"(7.0615336086814855,18.711887747992233)"
2,2,sh,"(-1.4531012896800541,19.947142568346226)"
3,3,sh,"(9.274475432571368,17.719596650336886)"
4,4,sh,"(-0.31234765569435347,19.997560824810165)"
5,5,sh,"(11.482849671598998,16.375108042985815)"
6,6,sh,"(1.6173647388609007,19.934496013230167)"
7,7,sh,"(12.697774068007218,15.452072149645284)"
8,8,sh,"(4.252698468177767,19.542634309088385)"
9,9,sh,"(13.609309525805608,14.655602827274514)"
10,10,sh,"(6.669432504605681,18.855202732044788)"
11,11,sh,"(15.11693036765175,13.094976756740284)"
12,12,sh,"(8.40943668801913,18.146111831193974)"
13,13,sh,"(16.44772171132738,11.378596157115778)"
14,14,sh,"(9.83040342158349,17.417323806168376)"
15,15,sh,"(17.70414010293488,9.303946647291834)"
16,16,sh,"(11.02175763486963,16.688944203819275)"
17,17,sh,"(18.710859978488106,7.064256426929312)"
18,18,sh,"(12.57902344288118,15.548896077324773)"
19,19,sh,"(19.286152481439302,5.295689045126484)"
