,0,1,2
0,0,sh,"(4,19.595917942265423)"
1,1,sh,"(12.59725178842282,15.534131690541253)"
2,2,sh,"(9.260038174199138,17.72714565327353)"
3,3,sh,"(14.23514242064205,14.048513097977208)"
4,4,sh,"(10.85990381976489,16.794716104342342)"
5,5,sh,"(15.796152444896295,12.267092888602287)"
6,6,sh,"(11.0770671702376,16.652284615212544)"
7,7,sh,"(17.745870864570875,9.224102517750685)"
8,8,sh,"(10.541088715393697,16.996630510021674)"
9,9,sh,"(19.34836964266716,5.063654033473845)"
10,10,sh,"(9.357632013534532,17.675823123670185)"
11,11,sh,"(19.80455498912659,2.7891937334400256)"
12,12,sh,"(12.843166150028406,15.331441003466194)"
13,13,sh,"(19.837968471762778,2.5406705637185594)"
14,14,sh,"(15.450115549868022,12.700154703613904)"
